cluster_uid,target,sources,n_sources,n_percent,method
b13cbdfa412a,ACTB,ATF4;CANX;CLK1;DRAP1;DUSP26;ENO1;EWSR1;FEZ1;FOS;GOT1;HSPA5;JUN;JUNB;JUND;NFE2L1;NPDC1;NUCB1;PHF1;PKM;PRDX5;PRNP;RAB7A;RAD21;RAN;SCAND1;SNRNP70;SOD1;SRP9;STUB1;TAGLN2;TCEAL2;TCEAL6;THRA;TPI1;TPPP;UBB;YWHAZ;ZMAT2,38,100.0,exp02-coregnet
9fe08f725d6b,APOE,DUSP26;ENO1;FOS;GOT1;HSPA5;JUN;JUNB;JUND;PRNP;RAN;TCEAL2;TCEAL6;TPI1;YWHAZ,14,100.0,exp02-coregnet
c0485e0170ee,APP,CANX;CLK1;DRAP1;DUSP26;ENO1;EWSR1;FEZ1;FOS;GOT1;HSPA5;JUN;JUNB;NFE2L1;NPDC1;NUCB1;PHF1;PKM;PRDX5;PRNP;RAB7A;RAD21;RAN;SCAND1;SNRNP70;SOD1;SRP9;STUB1;TCEAL2;TCEAL6;THRA;TPI1;TPPP;UBB;YWHAZ;ZMAT2,35,100.0,exp02-coregnet
99c3fb36ea14,CLU,ATF4;CANX;DUSP26;ENO1;EWSR1;FOS;GOT1;HSPA5;JUN;JUNB;JUND;NFE2L1;NPDC1;NUCB1;PHF1;PKM;PRDX5;PRNP;RAB7A;RAN;SCAND1;SOD1;SRP9;STUB1;TAGLN2;TCEAL2;TCEAL6;THRA;TPI1;TPPP;UBB;YWHAZ;ZMAT2,33,100.0,exp02-coregnet
1116663fa01d,CRYAB,FEZ1;FOS;JUN,3,100.0,exp02-coregnet
0595d3e8358f,DUSP1,FOS;JUN;JUNB,3,100.0,exp02-coregnet
dad1a61bc5e4,GADD45B,FOS;HSPA5;JUN;JUNB,4,100.0,exp02-coregnet
e377494d8e93,GSTP1,ATF4;CANX;CLK1;DRAP1;DUSP26;ENO1;EWSR1;FEZ1;FOS;GOT1;HSPA5;JUN;JUNB;JUND;NFE2L1;NPDC1;NUCB1;PHF1;PKM;PRDX5;PRNP;RAB7A;RAD21;RAN;SCAND1;SNRNP70;SOD1;SRP9;STUB1;TAGLN2;TCEAL2;TCEAL6;THRA;TPI1;TPPP;UBB;YWHAZ;ZMAT2,38,100.0,exp02-coregnet
964f212d5ee1,HLA-DRB1,DUSP26;FOS;GOT1;HSPA5;JUN;JUNB;PRNP;RAN;TCEAL6;YWHAZ,10,100.0,exp02-coregnet
32189bf3eb2d,HLA-E,FOS;GOT1;HSPA5;JUN;JUNB;NUCB1;TAGLN2,7,100.0,exp02-coregnet
541724faa0a7,HSP90AA1,ATF4;CANX;CLK1;DRAP1;DUSP26;ENO1;EWSR1;FOS;GOT1;HSPA5;JUN;JUNB;JUND;NFE2L1;NPDC1;NUCB1;PHF1;PKM;PRDX5;PRNP;RAB7A;RAD21;RAN;SCAND1;SOD1;SRP9;STUB1;TCEAL2;TCEAL6;THRA;TPI1;TPPP;UBB;YWHAZ;ZMAT2,35,100.0,exp02-coregnet
828af66f0f4b,HSPA1A,FOS;HSPA5;JUN;JUNB,4,100.0,exp02-coregnet
ec699ca287f4,ID3,FOS;GOT1;JUN;JUNB;TAGLN2,5,100.0,exp02-coregnet
370d670fad1a,MAT2A,ATF4;CANX;CLK1;DRAP1;DUSP26;ENO1;EWSR1;FOS;GOT1;HSPA5;JUN;JUNB;JUND;NFE2L1;NPDC1;NUCB1;PHF1;PKM;PRDX5;PRNP;RAB7A;RAD21;RAN;SCAND1;SNRNP70;SOD1;SRP9;STUB1;TAGLN2;TCEAL2;TCEAL6;THRA;TPI1;TPPP;UBB;YWHAZ;ZMAT2,37,100.0,exp02-coregnet
7d8aaf1c9523,NDRG1,FEZ1,1,100.0,exp02-coregnet
723217e454d5,SPARC,FOS;GOT1;HSPA5;PRNP;RAN;TCEAL2;TCEAL6;YWHAZ,8,100.0,exp02-coregnet
6d582f2f04d4,STMN1,CANX;CLK1;DRAP1;DUSP26;ENO1;EWSR1;FEZ1;FOS;GOT1;HSPA5;JUNB;JUND;NFE2L1;NPDC1;NUCB1;PHF1;PKM;PRDX5;PRNP;RAB7A;RAD21;RAN;SCAND1;SNRNP70;SOD1;SRP9;STUB1;TCEAL2;TCEAL6;THRA;TPI1;TPPP;UBB;YWHAZ;ZMAT2,35,100.0,exp02-coregnet
53bac3d4dff6,SUMO1,ATF4;CANX;CLK1;DRAP1;DUSP26;ENO1;EWSR1;FOS;GOT1;HSPA5;JUN;JUNB;JUND;NFE2L1;NPDC1;NUCB1;PHF1;PKM;PRDX5;PRNP;RAB7A;RAD21;RAN;SCAND1;SNRNP70;SOD1;SRP9;STUB1;TCEAL2;TCEAL6;THRA;TPI1;TPPP;UBB;YWHAZ;ZMAT2,36,100.0,exp02-coregnet
ab6ba106aae9,TIMP3,CANX;DRAP1;DUSP26;ENO1;EWSR1;FOS;GOT1;HSPA5;JUN;JUNB;JUND;NFE2L1;NPDC1;NUCB1;PHF1;PKM;PRDX5;PRNP;RAB7A;RAN;SNRNP70;SOD1;SRP9;STUB1;TAGLN2;TCEAL2;TCEAL6;THRA;TPI1;TPPP;YWHAZ;ZMAT2,32,100.0,exp02-coregnet
51eb5aa57e7b,TKT,ATF4;CANX;CLK1;DRAP1;DUSP26;ENO1;EWSR1;FEZ1;FOS;GOT1;HSPA5;JUN;JUNB;JUND;NFE2L1;NPDC1;NUCB1;PHF1;PKM;PRDX5;PRNP;RAB7A;RAD21;RAN;SCAND1;SNRNP70;SOD1;SRP9;STUB1;TAGLN2;TCEAL2;TCEAL6;THRA;TPI1;TPPP;UBB;YWHAZ;ZMAT2,38,100.0,exp02-coregnet
ffa2c8482928,TXN,ATF4;CANX;CLK1;DRAP1;DUSP26;ENO1;EWSR1;FEZ1;FOS;GOT1;HSPA5;JUN;JUNB;JUND;NFE2L1;NPDC1;NUCB1;PHF1;PKM;PRDX5;PRNP;RAB7A;RAD21;RAN;SCAND1;SNRNP70;SOD1;SRP9;STUB1;TAGLN2;TCEAL2;TCEAL6;THRA;TPI1;TPPP;UBB;YWHAZ;ZMAT2,38,100.0,exp02-coregnet
49db737bd31f,VIM,FOS;HSPA5;JUN;JUNB;TAGLN2,5,100.0,exp02-coregnet
