cluster_uid,target,sources,n_sources,n_percent,silhouette_score,method
ae204689afb4,ACTA2,TAGLN2;JUNB;ANXA1;NR4A1;JUN;EZR;FOXE1;TRIM28;TFF3;EPAS1;PAX8;XBP1;PRDX5;NKX2-1;IVD;JUND,16,100.0,0.0,exp02_thyroid-coregtor-default
01646444816f,ACTB,NR4A1;JUNB;JUN;EGR1;JUND,5,100.0,0.0,exp02_thyroid-coregtor-default
25391ebf2271,APOE,EPAS1;CD59;PAX8;CAT;FOXE1;EZR;XBP1;ID4;NKX2-1;TFF3;RPL6;HNRNPA1;PRDX5,13,92.8571,0.5797,exp02_thyroid-coregtor-default
4387352ea627,CLU,YBX1;SOD1;RPS10;P4HB;RPL6;ENO1;PRDX5;HNRNPA1;CD59;NR4A1,10,100.0,0.0,exp02_thyroid-coregtor-default
b3cb07081fa8,CRYAB,JUN;CLK1;DDIT3;SOD1;FOS;HSPA5,6,100.0,0.0,exp02_thyroid-coregtor-default
d1db9f9cf512,DUSP1,FOS;JUN;EGR1;NR4A1;JUNB,5,100.0,0.0,exp02_thyroid-coregtor-default
73ad682ed015,GADD45B,CEBPD,1,100.0,0.0,exp02_thyroid-coregtor-default
6b3e9930281a,GSTP1,PRDX5,1,100.0,0.0,exp02_thyroid-coregtor-default
74722abb2de1,HBB,UBXN1;TAGLN2;CD59;CSNK2B;ATF4;CAT;RPL35;RPS10;RPL6;SNRNP70,10,100.0,0.0,exp02_thyroid-coregtor-default
bbb289b362c1,HLA-E,TAGLN2;ATF4;RPL35,3,100.0,0.0,exp02_thyroid-coregtor-default
0c600c27ab1b,HSP90AA1,SOD1;HSPA5;CLK1;DDIT3;ATF4,5,100.0,0.0,exp02_thyroid-coregtor-default
5f043ffa157d,HSPA1A,CLK1;SOD1;JUN;FOS;TRIM28;RPL6,6,100.0,0.0,exp02_thyroid-coregtor-default
057c2378f175,ID3,ID1,1,100.0,0.0,exp02_thyroid-coregtor-default
67a1ed7db81b,MAT2A,IVD;PHF1;EZR;EWSR1;SF1;NKX2-1;RPL35,7,100.0,0.0,exp02_thyroid-coregtor-default
8ab1e1f48ade,MCL1,EGR1;JUNB;NR4A1;FOS;JUND,5,100.0,0.0,exp02_thyroid-coregtor-default
e1a419f85f9c,PER1,NR4A1;PHF1;JUND;PAX8;SF1,5,100.0,0.0,exp02_thyroid-coregtor-default
fe3e5f80f1c9,RHOA,YWHAE;YBX1;CANX;P4HB;CD59;SOD1;TPI1,7,100.0,0.0,exp02_thyroid-coregtor-default
480708f3e06a,SPARC,TAGLN2;ANXA1,2,100.0,0.0,exp02_thyroid-coregtor-default
7cabf9dcef9a,TAGLN,FOXE1;JUNB;EZR;TAGLN2;NR4A1;JUN;EPAS1;ANXA1;TFF3;PRDX5;PAX8,11,100.0,0.0,exp02_thyroid-coregtor-default
4bb8e3604b9a,TIMP1,CD59;ENO1;TAGLN2;CEBPD;CAT;RPL35,6,100.0,0.0,exp02_thyroid-coregtor-default
a1db4c3f277d,TIMP3,EPAS1,1,100.0,0.0,exp02_thyroid-coregtor-default
f0538e7fac39,TKT,ENO1;YBX1;P4HB;TPI1;CAT;SOD1;PRDX5;YWHAE;EZR,9,100.0,0.0,exp02_thyroid-coregtor-default
e0056e42b585,VEGFA,PAX8;HES1,2,100.0,0.0,exp02_thyroid-coregtor-default
aa8fdad24c6e,VIM,RPL35;TAGLN2;RPL6;JUND;ATF4;CSNK2B;PHF1;BHLHE40;CLK1;JUN;RPS4X,11,100.0,0.0,exp02_thyroid-coregtor-default
